Course ID,Porgram ID,Branch,Course Nomenclature,Porgram ID.1,Program Name,.,..1,..2,..3,..4,..5,..6,..7,..8,..9,..10
102,1,BM,BIOMEDICAL ENGG.,1,BE,,,,,,,,,,,
104,1,CE,CIVIL ENGG.,1,BE,,,,,,,,,,,
106,1,CS,COMPUTER ENGG.,1,BE,,,,,,,,,,,
108,1,EE,ELECTRICAL ENGG.,1,BE,,,,,,,,,,,
109,1,EI,ELECTRONICS & INSTRUMENTATION ENGG.,1,BE,,,,,,,,,,,
114,1,IP,INDUSTRIAL & PRODUCTION ENGG.,1,BE,,,,,,,,,,,
115,1,IT,INFORMATION TECHNOLOGY,1,BE,,,,,,,,,,,
116,1,ME,MECHANICAL ENGG.,1,BE,,,,,,,,,,,
8011,1,EC,ELECTRONICS & TELECOMMUNICATION ENGG.,1,BE,,,,,,,,,,,
8049,1,CS,COMPUTER SCIENCE & ENGG.,1,BE,,,,,,,,,,,
8050,1,EC,ELECTRONICS AND TELECOMMUNICATIONS ENGG.,1,BE,,,,,,,,,,,
30507,24,BM,BIOMEDICAL ENGG.,24,B.Tech,,,,,,,,,,,
30509,24,CE,CIVIL ENGG.,24,B.Tech,,,,,,,,,,,
30511,24,CS,COMPUTER SCIENCE & ENGG.,24,B.Tech,,,,,,,,,,,
30512,24,EC,ELECTRONICS AND TELECOMMUNICATIONS ENGG.,24,B.Tech,,,,,,,,,,,
30513,24,EE,ELECTRICAL ENGG.,24,B.Tech,,,,,,,,,,,
30514,24,EI,ELECTRONICS & INSTRUMENTATION ENGG.,24,B.Tech,,,,,,,,,,,
30519,24,IP,INDUSTRIAL & PRODUCTION ENGG.,24,B.Tech,,,,,,,,,,,
30520,24,IT,INFORMATION TECHNOLOGY,24,B.Tech,,,,,,,,,,,
30521,24,ME,MECHANICAL ENGG.,24,B.Tech,,,,,,,,,,,
8051,2,PY,BACHELOR OF PHARMACY,2,B.Pharm,,,,,,,,,,,
120,2,PY,B.Pharm,2,B.Pharm,,,,,,,,,,,
30550,43,PY,B.Pharm.(PCI),43,B.Pharm.(PCI),,,,,,,,,,,
8019,10,EC,ELECTRONICS & TELECOMMUNICATION ENGG.,10,B.E. (PTDC),,,,,,,,,,,
202,10,CE,CIVIL ENGG.,10,B.E. (PTDC),,,,,,,,,,,
204,10,ME,MECHANICAL ENGG.,10,B.E. (PTDC),,,,,,,,,,,
205,10,EE,ELECTRICAL ENGG.,10,B.E. (PTDC),,,,,,,,,,,
214,10,IP,INDUSTRIAL & PRODUCTION ENGG.,10,B.E. (PTDC),,,,,,,,,,,
8052,5,CA,MASTER OF COMPUTER APPLICATIONS,5,MCA 3YDC,,,,,,,,,,,
119,5,CA,MCA,5,MCA 3YDC,,,,,,,,,,,
30581,53,CA,Master of Computer Applications 2 Year,53,MCA 2 YDC,,,,,,,,,,,
124,6,CE,(CIVIL) ENVIRONMENTAL ENGG.,6,ME,,,,,,,,,,,
126,6,CE,(CIVIL) STRUCTURAL ENGG.,6,ME,,,,,,,,,,,
128,6,CS,COMPUTER ENGG.,6,ME,,,,,,,,,,,
141,6,EE,(ELECTRICAL) POWER ELECTRONICS,6,ME,,,,,,,,,,,
144,6,IT,INFORMATION TECHNOLOGY,6,ME,,,,,,,,,,,
149,6,IE,INDUSTRIAL ENGG. AND MANAGEMENT,6,ME,,,,,,,,,,,
8012,6,CE,(CIVIL) WATER RESOURCES ENGG.,6,ME,,,,,,,,,,,
8013,6,EE,(ELECTRICAL) DIGITAL TECHNIQUES & INSTRUMENTATION,6,ME,,,,,,,,,,,
8014,6,ME,(MECHANICAL) TRIBOLOGY & MAINTENANCE ENGG.,6,ME,,,,,,,,,,,
192,6,CE,(CIVIL) TRANSPORTATION ENGG.,6,ME,,,,,,,,,,,
8016,6,EC,ELECTRONICS & TELECOMMUNICATION ENGG.,6,ME,,,,,,,,,,,
8053,6,CE,ENVIRONMENT ENGG.,6,ME,,,,,,,,,,,
8054,6,CE,STRUCTURAL ENGG.,6,ME,,,,,,,,,,,
8055,6,CE,TRANSPORTATION ENGG.,6,ME,,,,,,,,,,,
8056,6,CE,WATER RESOURCE ENGG.,6,ME,,,,,,,,,,,
219,6,PE,(PRODUCTION) COMPUTER INTEGRATED MANUFACTURING,6,ME,,,,,,,,,,,
8033,6,ME,(MECHANICAL) CAD/CAM/CAE,6,ME,,,,,,,,,,,
8059,6,EE,POWER ELECTRONICS,6,ME,,,,,,,,,,,
8060,6,EE,DIGITAL TECHNIQUES AND INSTRUMENTATION,6,ME,,,,,,,,,,,
8061,6,PE,COMPUTER INTEGRATED MANUFACTURING,6,ME,,,,,,,,,,,
8062,6,EC,ELECTRONICS AND COMMUNICATIONS ENGG.,6,ME,,,,,,,,,,,
8063,6,ME,TRIBOLOGY AND MAINTENANCE,6,ME,,,,,,,,,,,
8064,6,ME,CAD/CAM/CAE,6,ME,,,,,,,,,,,
8070,6,EE,POWER SYSTEM AND CONTROL,6,ME,,,,,,,,,,,
30651,6,IP,Manufacturing ENGG.,6,ME,,,,,,,,,,,
8057,15,CE,STRUCTURAL ENGG.,15,M.E (PTDC),,,,,,,,,,,
8035,15,CE,(CIVIL) STRUCTURAL ENGG.,15,M.E (PTDC),,,,,,,,,,,
8020,8,CE,(CIVIL) ENVIRONMENTAL ENGG.,8,M.Tech,,,,,,,,,,,
8015,8,EC,(OPTOELECTRONICS) OPTICAL COMMUNICATION,8,M.Tech,,,,,,,,,,,
156,8,CE,ENVIRONMENTAL ENGG.,8,M.Tech,,,,,,,,,,,
158,8,CS,COMPUTER ENGG.,8,M.Tech,,,,,,,,,,,
166,8,EI,(E & I) MICROELECTRONICS & VLSI DESIGN,8,M.Tech,,,,,,,,,,,
172,8,EE,POWER ELECTRONICS,8,M.Tech,,,,,,,,,,,
176,8,IT,INFORMATION TECHNOLOGY,8,M.Tech,,,,,,,,,,,
179,8,IP,INDUSTRIAL ENGG. AND  MANAGEMENT,8,M.Tech,,,,,,,,,,,
181,8,ME,THERMAL ENGG.,8,M.Tech,,,,,,,,,,,
190,8,EE,POWER SYSTEM & CONTROL,8,M.Tech,,,,,,,,,,,
8065,8,EI,MICROELECTRONICS & VLSI DESIGN,8,M.Tech,,,,,,,,,,,
8066,8,EC,OPTOELECTRONICS -OPTICAL COMMUNICATION,8,M.Tech,,,,,,,,,,,
8067,8,BM,BIOMEDICAL SIGNAL PROCESSING AND INSTRUMENTATION,8,M.Tech,,,,,,,,,,,
8068,8,CM,Chemical Technology,8,M.Tech,,,,,,,,,,,
8069,8,IM,Industrial Mathematics,8,M.Tech,,,,,,,,,,,
246,8,ME,MECHANICAL ENGG. DESIGN,8,M.Tech,,,,,,,,,,,
30652,8,CE,WATER RESOURCES AND ENVIRONMENTAL ENGG.,8,M.Tech,,,,,,,,,,,
30653,8,CE,TRANSPORTATION ENGG.,8,M.Tech,,,,,,,,,,,
30654,8,ME,CAD/CAM/CAE,8,M.Tech,,,,,,,,,,,
30655,8,IP,MANUFACTURING ENGG.,8,M.Tech,,,,,,,,,,,
30656,8,EC,ELECTRONICS AND COMMUNICATIONS ENGG.,8,M.Tech,,,,,,,,,,,
217,8,CE,STRUCTURAL ENGG.,8,M.Tech,,,,,,,,,,,
30660,8,EC,Quantum Computing,8,M.Tech,,,,,,,,,,,
8058,8,CE,ENVIRONMENT ENGG.,8,M.Tech,,,,,,,,,,,
30657,20,CE,STRUCTURAL ENGG.,20,M.Tech (PTDC),,,,,,,,,,,
8034,20,EI,VLSI & Microelectronics(PT),20,M.Tech (PTDC),,,,,,,,,,,
8017,7,PY,MEDICINAL PHARMACEUTICAL CHEMISTRY,7,M.Pharm,,,,,,,,,,,
8018,7,PY,INDUSTRIAL PHARMACY,7,M.Pharm,,,,,,,,,,,
30658,71,PY,PHARMACEUTICAL CHEMISTRY,71,M.Pharm (PCI),,,,,,,,,,,
30659,71,PY,INDUSTRIAL PHARMACY,71,M.Pharm (PCI),,,,,,,,,,,
8038,4,BA,MBA,4,MBA,,,,,,,,,,,
8043,4,BA,Marketing And Human Resource Management,4,MBA,,,,,,,,,,,
8044,4,BA,Marketing And Operations Management,4,MBA,,,,,,,,,,,
8045,4,BA,Finance And Human Resource Management,4,MBA,,,,,,,,,,,
8046,4,BA,Finance And Operations Management,4,MBA,,,,,,,,,,,
8047,4,BA,Human Resource And Operations Management,4,MBA,,,,,,,,,,,
8048,4,BA,Marketing And Finance Management,4,MBA,,,,,,,,,,,
30661,9,MS,Applied Mathematics,9,M.SC,,,,,,,,,,,
8025,9,MS,M.Sc. APPLIED PHYSICS,9,M.SC,,,,,,,,,,,
8030,9,MS,M.Sc. APPLIED MATHEMATICS(COMPUTER SCIENCE),9,M.SC,,,,,,,,,,,
8031,9,MS,M.Sc. Applied Chemistry,9,M.SC,,,,,,,,,,,
8032,9,MS,M.Sc. APPLIED CHEMISTRY (FINE CHEM.& DRUGS),9,M.SC,,,,,,,,,,,
